project;commitHash;changedfiled
large-refactorings/dubbo;30b311a0c372ef5b835827711b38b91c0a27852a;1
large-refactorings/dubbo;5977a2d455e8cfc318d893fc52b115bd537e92c6;2
large-refactorings/dubbo;48ba293ef3c0add4b0048f95731ecd08917f1f18;2
large-refactorings/dubbo;97aec3671e4829c07b6a7c7e91436e4818321e04;2
large-refactorings/dubbo;5eedd4970adeb4de00c0d3253fe363870ce17201;28
large-refactorings/dubbo;63d319b60ec8962e7f82df77405866309c42da41;1
large-refactorings/dubbo;4bfeeb2b47284ae04f1fe340ac4c29c096dfb260;4
large-refactorings/dubbo;3531a7d681da5574f31609beeb2ed288af7aaebc;20
large-refactorings/dubbo;7c8b658e40b4d81ef00d6b7237330f9e4e00984a;1
large-refactorings/dubbo;a08aabf69a08e70cdd241c178b5426621e1d60a7;7
large-refactorings/dubbo;322fb9724eef64088a9936ef143858064a064c83;1
large-refactorings/dubbo;152455e99e9be5c01f02b66eaaa97ac475f44909;7
large-refactorings/dubbo;8a4a6b52e933747b9c67ad3751a16520684018b4;1
large-refactorings/dubbo;4bb228a0840f2893e50e343f7e0932e4aea6805b;1
large-refactorings/dubbo;60c55b83bc27282dabb93a31ccb3e35e29ae087e;66
large-refactorings/dubbo;ea0506aa65f230ba805b482370eee6a871f04b13;14
large-refactorings/dubbo;ca0b9828667dc981986b1235bc4e032f8cd46171;1
large-refactorings/dubbo;3a3d0ef50ee0939dbf5cd6ddb4b0aeb789b329af;108
large-refactorings/dubbo;175d85f96161b32b50077fd61d8f32c0a587f0c7;3
large-refactorings/dubbo;1899389d6f36be344cd202b42069667cb6488db9;1
large-refactorings/dubbo;5f52fab4fdf64c105ad8f09b8193837f251b0629;9
large-refactorings/dubbo;6cfeb48ae30d89a52d370fa7ab2c82f03fc27aa7;2
large-refactorings/dubbo;bff9daa77c88fa1914f50edb068e448c263fa64a;1
large-refactorings/dubbo;18eb598dd32c4a17e3375c8ffcf9e2ceec69e61e;19
large-refactorings/dubbo;1da8c5cfa6f7555a225f1f95a188fc1281368238;32
large-refactorings/dubbo;55dd749dd1a641e700179157d3b3ea0584580dd8;4
large-refactorings/dubbo;979eaec15d8c3393dc4981ba8f0f093066e1d974;1
large-refactorings/dubbo;b9bca6a089cc24fbecd49e03f820f9f7e1e8eb82;9
large-refactorings/dubbo;ea933320e1403526edbc8fa33901f9c85369ff52;13
large-refactorings/dubbo;1a267528a010afb5c94c146c1cd98f7d17e865f1;3
large-refactorings/dubbo;78ffad2cdb1611896148139df8e98584dcc98a3a;41
large-refactorings/dubbo;e93338749a584dca1a98da9efe828e63b321dd7d;3
